"date","waterYear","depth_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,0
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,0.797
2003-12-10,2004,0.106
2003-12-11,2004,0
2003-12-12,2004,0.5461
2003-12-13,2004,1.574
2003-12-14,2004,0.1379
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0.0333
2003-12-27,2004,11.1625
2003-12-28,2004,10.4289
2003-12-29,2004,6.2758
2003-12-30,2004,1.8933
2003-12-31,2004,0.6891
2004-01-01,2004,0.2474
2004-01-02,2004,0.1542
2004-01-03,2004,1.9095
2004-01-04,2004,11.1043
2004-01-05,2004,6.683
2004-01-06,2004,3.4917
2004-01-07,2004,2.2084
2004-01-08,2004,1.5581
2004-01-09,2004,0.4416
2004-01-10,2004,0.153
2004-01-11,2004,0.0086
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,5.1741
2004-01-17,2004,3.3957
2004-01-18,2004,2.3414
2004-01-19,2004,0.9422
2004-01-20,2004,0.377
2004-01-21,2004,4.3333
2004-01-22,2004,7.5871
2004-01-23,2004,3.8392
2004-01-24,2004,1.8377
2004-01-25,2004,0.6295
2004-01-26,2004,26.5981
2004-01-27,2004,16.3057
2004-01-28,2004,10.9895
2004-01-29,2004,7.7388
2004-01-30,2004,3.7504
2004-01-31,2004,1.3842
2004-02-01,2004,16.2329
2004-02-02,2004,9.8368
2004-02-03,2004,6.2354
2004-02-04,2004,15.9074
2004-02-05,2004,11.7515
2004-02-06,2004,7.8379
2004-02-07,2004,4.8793
2004-02-08,2004,3.5704
2004-02-09,2004,2.8873
2004-02-10,2004,2.5912
2004-02-11,2004,2.2522
2004-02-12,2004,1.9099
2004-02-13,2004,1.5295
2004-02-14,2004,1.153
2004-02-15,2004,0.8851
2004-02-16,2004,0.6736
2004-02-17,2004,0.5281
2004-02-18,2004,0.0125
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,0.627
2004-02-23,2004,0.2238
2004-02-24,2004,15.5901
2004-02-26,2004,8.3344
2004-02-27,2004,0.0712
2004-02-28,2004,0.5269
2004-02-29,2004,8.9967
2004-03-01,2004,3.7907
2004-03-02,2004,1.4295
2004-03-03,2004,0.6969
2004-03-04,2004,0.0347
2004-03-05,2004,15.2535
2004-03-06,2004,8.3599
2004-03-07,2004,1.4542
2004-03-08,2004,0.012
2004-03-09,2004,0
2004-03-10,2004,0
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,6.0754
2004-04-05,2004,20.4313
2004-04-06,2004,17.0055
2004-04-07,2004,4.3738
2004-04-08,2004,0.3793
2004-04-09,2004,0.2073
2004-04-10,2004,0.0104
2004-04-11,2004,0.0047
2004-04-12,2004,1.1501
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0.0805
2004-04-25,2004,0.0416
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,0
2004-11-02,2005,0
2004-11-03,2005,0
2004-11-04,2005,0
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0
2004-11-11,2005,0
2004-11-12,2005,0
2004-11-13,2005,0
2004-11-14,2005,33.383
2004-11-15,2005,25.7429
2004-11-16,2005,23.726
2004-11-17,2005,13.7164
2004-11-18,2005,7.2615
2004-11-19,2005,6.5296
2004-11-20,2005,5.5097
2004-11-21,2005,4.7484
2004-11-22,2005,14.9967
2004-11-23,2005,12.9671
2004-11-24,2005,9.4859
2004-11-25,2005,7.0143
2004-11-26,2005,5.1417
2004-11-27,2005,8.908
2004-11-28,2005,2.2302
2004-11-29,2005,19.5895
2004-11-30,2005,16.7205
2004-12-01,2005,12.3582
2004-12-02,2005,8.6676
2004-12-03,2005,6.7524
2004-12-04,2005,5.0161
2004-12-05,2005,22.0112
2004-12-06,2005,28.2678
2004-12-07,2005,42.4695
2004-12-08,2005,39.7115
2004-12-09,2005,53.6814
2004-12-10,2005,43.0735
2004-12-11,2005,34.1522
2004-12-12,2005,15.9584
2004-12-13,2005,12.4536
2004-12-14,2005,9.2085
2004-12-15,2005,8.9487
2004-12-16,2005,8.5791
2004-12-17,2005,9.1575
2004-12-18,2005,8.2603
2004-12-19,2005,8.0949
2004-12-20,2005,7.766
2004-12-21,2005,6.9769
2004-12-22,2005,6.8453
2004-12-23,2005,6.1052
2004-12-24,2005,5.5781
2004-12-25,2005,5.0696
2004-12-26,2005,4.803
2004-12-27,2005,4.4465
2004-12-28,2005,3.8563
2004-12-29,2005,1.6842
2004-12-30,2005,0.3252
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0
2005-01-04,2005,9.2298
2005-01-05,2005,3.6235
2005-01-06,2005,8.3494
2005-01-07,2005,9.9021
2005-01-08,2005,18.8306
2005-01-09,2005,7.6796
2005-01-10,2005,0.4269
2005-01-11,2005,0.0052
2005-01-12,2005,19.8698
2005-01-13,2005,23.2557
2005-01-14,2005,13.8911
2005-01-15,2005,8.9939
2005-01-16,2005,6.1344
2005-01-17,2005,5.2345
2005-01-18,2005,4.2064
2005-01-19,2005,0.6022
2005-01-20,2005,0
2005-01-21,2005,0
2005-01-22,2005,0
2005-01-23,2005,0
2005-01-24,2005,0
2005-01-25,2005,0
2005-01-26,2005,0
2005-01-27,2005,0.7953
2005-01-28,2005,0.187
2005-01-29,2005,0.0187
2005-01-30,2005,0.0267
2005-01-31,2005,11.2223
2005-02-01,2005,12.9969
2005-02-02,2005,13.7669
2005-02-03,2005,10.3285
2005-02-04,2005,3.2057
2005-02-05,2005,0.293
2005-02-06,2005,0.0442
2005-02-07,2005,0.014
2005-02-08,2005,24.6006
2005-02-09,2005,25.8319
2005-02-10,2005,17.5299
2005-02-11,2005,12.1158
2005-02-12,2005,9.3578
2005-02-13,2005,10.7877
2005-02-14,2005,6.7038
2005-02-15,2005,3.2543
2005-02-16,2005,0.8849
2005-02-17,2005,0.2729
2005-02-18,2005,0.147
2005-02-19,2005,0.1702
2005-02-20,2005,2.9877
2005-02-21,2005,1.7939
2005-02-22,2005,0.5685
2005-02-23,2005,0.4023
2005-02-24,2005,7.9995
2005-02-25,2005,5.6888
2005-02-26,2005,8.8307
2005-02-27,2005,11.6654
2005-02-28,2005,7.9818
2005-03-01,2005,3.4879
2005-03-02,2005,2.3206
2005-03-03,2005,1.0229
2005-03-04,2005,0.7752
2005-03-05,2005,0.4774
2005-03-06,2005,0.436
2005-03-07,2005,0.3767
2005-03-08,2005,0.1445
2005-03-09,2005,0.0634
2005-03-10,2005,0.0114
2005-03-11,2005,0
2005-03-12,2005,0
2005-03-13,2005,0
2005-03-14,2005,0
2005-03-15,2005,0
2005-03-16,2005,0
2005-03-17,2005,0
2005-03-18,2005,0
2005-03-19,2005,0
2005-03-20,2005,0.5554
2005-03-21,2005,5.6742
2005-03-22,2005,3.0611
2005-03-23,2005,1.1863
2005-03-24,2005,0.1481
2005-03-25,2005,0.0852
2005-03-26,2005,1.8046
2005-03-27,2005,0.8291
2005-03-28,2005,0.0057
2005-03-29,2005,0
2005-03-30,2005,4.3269
2005-03-31,2005,6.7359
2005-04-01,2005,2.1385
2005-04-02,2005,0.113
2005-04-03,2005,0
2005-04-04,2005,0
2005-04-05,2005,0
2005-04-06,2005,0
2005-04-07,2005,0
2005-04-08,2005,0
2005-04-09,2005,0
2005-04-10,2005,0.642
2005-04-11,2005,0.7362
2005-04-12,2005,0
2005-04-13,2005,0
2005-04-14,2005,0
2005-04-15,2005,0
2005-04-16,2005,0
2005-04-17,2005,0
2005-04-18,2005,0
2005-04-19,2005,0
2005-04-20,2005,0
2005-04-21,2005,0
2005-04-22,2005,0
2005-04-23,2005,0
2005-04-24,2005,0
2005-04-25,2005,0
2005-04-26,2005,0
2005-04-27,2005,0
2005-04-28,2005,0
2005-04-29,2005,0
2005-04-30,2005,0
2005-11-01,2006,0
2005-11-02,2006,0
2005-11-03,2006,0
2005-11-04,2006,0
2005-11-05,2006,0
2005-11-06,2006,0
2005-11-07,2006,0
2005-11-08,2006,0
2005-11-09,2006,0
2005-11-10,2006,0
2005-11-11,2006,0
2005-11-12,2006,0
2005-11-13,2006,0
2005-11-14,2006,0
2005-11-15,2006,0
2005-11-16,2006,0
2005-11-17,2006,0
2005-11-18,2006,0
2005-11-19,2006,0
2005-11-20,2006,0
2005-11-21,2006,0
2005-11-22,2006,0
2005-11-23,2006,0
2005-11-24,2006,0
2005-11-25,2006,0
2005-11-26,2006,0
2005-11-27,2006,9.8142
2005-11-28,2006,4.6124
2005-11-29,2006,1.7765
2005-11-30,2006,0.4017
2005-12-01,2006,0.0774
2005-12-02,2006,0
2005-12-03,2006,0
2005-12-04,2006,6.1525
2005-12-05,2006,4.6175
2005-12-06,2006,3.3168
2005-12-07,2006,2.0651
2005-12-08,2006,1.4423
2005-12-09,2006,0.9554
2005-12-10,2006,0.345
2005-12-11,2006,0.107
2005-12-12,2006,0.0561
2005-12-13,2006,1.4241
2005-12-14,2006,18.882
2005-12-15,2006,7.4024
2005-12-16,2006,3.0403
2005-12-17,2006,1.3845
2005-12-18,2006,0.3578
2005-12-19,2006,0.0727
2005-12-20,2006,0.0182
2005-12-21,2006,0.0052
2005-12-22,2006,0
2005-12-23,2006,0
2005-12-24,2006,0
2005-12-25,2006,0
2005-12-26,2006,0
2005-12-27,2006,0
2005-12-28,2006,0
2005-12-29,2006,0
2005-12-30,2006,0
2005-12-31,2006,0
2006-01-01,2006,0
2006-01-02,2006,0
2006-01-03,2006,0
2006-01-04,2006,0
2006-01-05,2006,0
2006-01-06,2006,0
2006-01-07,2006,0
