"DateTime","(mm) Snow Depth (SNODAS) at Black Mesa, 2005-11-02 to 2008-11-01"
"2005-11-02",0
"2005-11-03",0
"2005-11-04",0
"2005-11-05",0
"2005-11-06",0
"2005-11-07",0
"2005-11-08",0
"2005-11-09",0
"2005-11-10",0
"2005-11-11",0
"2005-11-12",0
"2005-11-13",0
"2005-11-14",0
"2005-11-15",0
"2005-11-16",0
"2005-11-17",0
"2005-11-18",0
"2005-11-19",0
"2005-11-20",0
"2005-11-21",0
"2005-11-22",0
"2005-11-23",0
"2005-11-24",0
"2005-11-25",0
"2005-11-26",0
"2005-11-27",0
"2005-11-28",0
"2005-11-29",0
"2005-11-30",0
"2005-12-01",0
"2005-12-02",0
"2005-12-03",0
"2005-12-04",2.9416
"2005-12-05",0.1782
"2005-12-06",0.0441
"2005-12-07",0
"2005-12-08",0
"2005-12-09",0
"2005-12-10",0
"2005-12-11",0
"2005-12-12",0
"2005-12-13",0
"2005-12-14",0
"2005-12-15",0
"2005-12-16",0
"2005-12-17",0
"2005-12-18",0
"2005-12-19",0
"2005-12-20",0
"2005-12-21",0
"2005-12-22",0
"2005-12-23",0
"2005-12-24",0
"2005-12-25",0
"2005-12-26",0
"2005-12-27",0
"2005-12-28",0
"2005-12-29",0
"2005-12-30",0
"2005-12-31",0
"2006-01-01",0
"2006-01-02",0
"2006-01-03",0
"2006-01-04",0
"2006-01-05",0
"2006-01-06",0
"2006-01-07",0
"2006-01-08",0
"2006-01-09",0
"2006-01-10",0
"2006-01-11",0
"2006-01-12",0
"2006-01-13",0
"2006-01-14",0
"2006-01-15",0
"2006-01-16",1.8052
"2006-01-17",0
"2006-01-18",0
"2006-01-19",0
"2006-01-20",105.1113
"2006-01-21",86.9074
"2006-01-22",72.7998
"2006-01-23",58.2118
"2006-01-24",45.2729
"2006-01-25",29.2061
"2006-01-26",52.4447
"2006-01-27",38.1807
"2006-01-28",25.4054
"2006-01-29",21.1096
"2006-01-30",22.2881
"2006-01-31",6.04
"2006-02-01",0.6006
"2006-02-02",0
"2006-02-03",0
"2006-02-04",0
"2006-02-05",0
"2006-02-06",0
"2006-02-07",0
"2006-02-08",0
"2006-02-09",0
"2006-02-10",0
"2006-02-11",0
"2006-02-12",0
"2006-02-13",0
"2006-02-14",0
"2006-02-15",0
"2006-02-16",3.3975
"2006-02-17",8.6277
"2006-02-18",0
"2006-02-19",0
"2006-02-20",0
"2006-02-21",0
"2006-02-22",0
"2006-02-23",0
"2006-02-24",0
"2006-02-25",0
"2006-02-26",0
"2006-02-27",0
"2006-02-28",0
"2006-03-01",0
"2006-03-02",0
"2006-03-03",0
"2006-03-04",0
"2006-03-05",0
"2006-03-06",0
"2006-03-07",0
"2006-03-08",0
"2006-03-09",13.2127
"2006-03-10",2.146
"2006-03-11",38.2268
"2006-03-12",113.043
"2006-03-13",150.1336
"2006-03-14",131.8217
"2006-03-15",106.2325
"2006-03-16",68.5148
"2006-03-17",28.5753
"2006-03-18",0.8317
"2006-03-19",0.052
"2006-03-20",0.3117
"2006-03-21",0.0401
"2006-03-22",29.4853
"2006-03-23",17.123
"2006-03-24",1.2286
"2006-03-25",0.0513
"2006-03-26",0
"2006-03-27",0
"2006-03-28",0
"2006-03-29",0
"2006-03-30",0.5992
"2006-03-31",0.0552
"2006-04-01",0
"2006-04-02",0
"2006-04-03",0
"2006-04-04",0
"2006-04-05",0
"2006-04-06",0
"2006-04-07",0
"2006-04-08",0
"2006-04-09",0
"2006-04-10",0
"2006-04-11",0
"2006-04-12",0
"2006-04-13",0
"2006-04-14",0
"2006-04-15",0
"2006-04-16",0
"2006-04-17",0
"2006-04-18",0
"2006-04-19",0
"2006-04-20",0
"2006-04-21",0
